formula,target
AgCrTi,0.52
CoLaTc2,0.28
Ba4Si8,0.23
CdHo2Tl,0.32
NiRuSc2,0.3
Ir3Rh,0.24
HfRh2Yb,0.36
OsRuTi2,0.28
GeZn3,0.47
Ag2Ge2Sm,0.26
NdTl2Tm,0.35
Mg5Sr,0.35
ClCs2F6Se,0.53
Cs2F6KN,-0.14
LiS2Sc,0.17
NNa,0.17
Na2,0.32
CdHfO3,0.29
CrTe4V2,0.26
CoGa5Np,0.19
Ce4Mg2,0.48
Al7Ca3Cu2,0.21
Se2,-2.79
Cu2O8Pr4,0.32
Pt4Tb2,0.3
Co4In8,0.36
P8Si4,0.15
P4V4Zr4,0.25
Na2O2Pt,0.33
F24U4,0.24
Bi2In2,0.29
Ba4N8O16,0.31
CuSe2Tm,0.31
N8O8P8,0.11
Gd16O24,0.32
Mg18Si10,0.23
Br4Cs2I2Pd,0.31
Cd3Y,0.35
In12Se18,0.25
H6Ba2Os,0.3
O2PrY,0.22
Cs2Ho2O4,0.29
PbRh2Sc,0.24
Au2LiSc,0.46
Mg6Tl2,0.34
MnRh2Si,0.44
Ru2TaYb,0.33
Ac2CuSn,0.37
Rh2ScYb,0.33
Cl4Rh2,0.35
Li2NaPb,0.48
CrFe2Sb,-2.56
Ca4,1.2
Mn3Sn,0.37
CCr2HoSi2,0.22
CEr3Ga,0.32
Mg4N6Sb2,0.28
CSm3Sn,0.38
GaNi2Sc,0.33
Pt4Sc2Si2,0.32
SSc,0.28
NaO2V,0.31
Li2Mn2O8,0.26
In2Sc6,0.24
BaF6Pb,0.32
Ge4Pd4Ti4,0.3
Ni4Si4Y4,0.27
Sb2Ti2,0.28
CRu3Ta,0.29
H2Mn2,0.67
GeTe,0.14
Mg8Ni16,0.29
Cl6PdS2,0.22
Ba4S6,0.32
C4Li4N4,0.36
Al4O12Sc4,0.26
Au5O2Rb7,0.33
Li2Nb2O6,0.24
Bi6Pt3,0.37
Sb4Zr4,0.26
Ag2HgI4,0.32
Ni2SnYb,0.29
ClCs,0.28
O12Os4Pb4,0.3
H6Na2Pt,0.23
F2Mg4N2,0.22
C2Ba2O6,0.32
N2Ti4,0.26
O16Si8,0.06
Pm2SiZn,0.31
O6Re2,0.26
CaNa3,0.3
CuIrZn2,0.7
Cu2Na2O4,0.31
NTi,0.37
FeGaTi2,0.55
Fe3Nb,0.34
CoMnS,0.44
HgO3Ti,0.41
HfPt3,0.29
As4Co2,0.25
Mn3NPd,0.3
BCuMg6,0.31
F6Ru,0.43
Cr3Si6,0.17
PdZr,0.49
Al4Nd,0.39
Ge4La2,0.36
Dy2Ge2,0.16
N4Rh2,0.27
